Time	Fres	Temp
2218	1788.71	21.14
2220	1791.92	21.06
2222	1791.46	21.02
2224	1792.24	21.25
2226	1795.56	21.17
2228	1792.52	21.15
2230	1790.45	21.2
2232	1795.33	21.25
2234	1792.48	21.33
2236	1789.78	21.3
2238	1790.77	21.22
2240	1796.13	21.46
2242	1792.96	21.41
2244	1788.92	21.3
2246	1793.51	21.5
2248	1793.17	21.25
2250	1794.54	21.5
2252	1791.02	21.38
2254	1791.28	21.43
2257	1792.02	21.54
2259	1790.24	21.54
2261	1788.47	21.47
2263	1793.46	21.64
2265	1789.16	21.53
2267	1795.27	21.51
2269	1794.14	21.8
2271	1792.04	21.8
2273	1789.08	21.69
2275	1794.85	21.64
2277	1793.25	21.73
2279	1795.01	21.87
2281	1794.19	21.77
2283	1793.51	21.77
2285	1793	21.85
2287	1798.76	21.76
2289	1797.6	21.92
2291	1795.83	21.91
2293	1791.12	21.87
2295	1789.39	21.95
2297	1795.02	22.06
2299	1796.04	22.16
2301	1793.45	21.94
2303	1796.83	22.02
2305	1791.24	21.92
2307	1791.94	22
2310	1793.27	22.02
2312	1795.55	22.13
2314	1794.12	22.17
2316	1792.92	22.17
2318	1791.51	21.93
2320	1794.92	22.27
2322	1796.44	22.18
2324	1794.91	22.22
2326	1796.77	22.23
2328	1791.3	22.13
2330	1792.38	22.17
2332	1794.45	22.27
2334	1791.18	22.25
2336	1791.51	22.1
2338	1797.17	22.34
2340	1791.5	22.33
2342	1794.4	22.29
2344	1790.65	22.24
2346	1797.19	22.56
2348	1792.91	22.38
2350	1795.79	22.25
2352	1794.58	22.54
2354	1795.37	22.42
2356	1791.29	22.4
2359	1792.68	22.67
2361	1796.25	22.56
2363	1794.33	22.41
2365	1795.11	22.63
2367	1794.46	22.41
2369	1793.11	22.56
2371	1792.68	22.48
2373	1791.57	22.6
2375	1795.68	22.62
2377	1794.68	22.64
2379	1794.09	22.72
2381	1794.65	22.68
2383	1798.35	22.52
2385	1795.4	22.66
2387	1795.36	22.6
2389	1795.39	22.76
2391	1795.16	22.55
2393	1799.51	22.67
2395	1796.86	22.75
2397	1795.18	22.72
2399	1794.36	22.56
2401	1794.2	22.72
2404	1798.49	22.76
2406	1794.47	22.71
2408	1793.82	22.77
2410	1796.26	22.79
2412	1796.45	22.85
2414	1795.46	22.65
2416	1795.69	22.9
2418	1794.03	22.87
2420	1797.08	22.99
2422	1796.26	22.78
2424	1796.52	23.02
2426	1794.19	22.91
2428	1795.81	22.88
2430	1794.64	22.9
2432	1796.96	22.85
2434	1799.19	22.98
2436	1796.38	22.97
2438	1794.72	22.83
2440	1795.82	22.9
2442	1796.45	22.84
2444	1795.98	22.95
2446	1799.4	23.08
2448	1802.68	23.04
2451	1797.63	23.2
2453	1798.06	22.93
2455	1798.27	23.01
2457	1799.8	23.07
2459	1798.53	22.98
2461	1796.06	22.99
2463	1792.74	22.98
2465	1795.81	23.09
2467	1798.66	23.05
