Time,Unsmoothed Fres,Temp,Fres
653,1789.23,23.9,1791.4140000000002
655,1793.74,24.0,1791.2240000000002
657,1787.01,23.86,1790.8300000000002
659,1789.52,23.8,1790.6886666666667
661,1790.0,23.76,1790.6879999999999
663,1787.28,23.68,1790.4866666666667
665,1786.13,23.63,1790.2413333333334
667,1791.45,23.58,1790.0193333333334
670,1789.07,23.61,1789.9500000000003
674,1787.34,23.45,1789.7240000000002
676,1794.3,23.37,1790.0566666666668
678,1788.78,23.31,1789.7226666666666
680,1789.28,23.3,1789.7053333333333
682,1787.6,23.32,1789.452
684,1788.18,23.24,1789.2606666666666
686,1787.67,23.12,1789.1566666666663
688,1787.05,23.18,1788.7106666666664
690,1787.57,23.13,1788.748
692,1787.1,23.03,1788.5866666666666
694,1784.0,23.03,1788.1866666666665
696,1790.34,22.95,1788.3906666666664
698,1791.13,23.01,1788.724
700,1786.57,22.9,1788.3986666666663
702,1785.91,22.83,1788.1879999999999
704,1790.2,22.81,1788.3786666666667
706,1786.25,22.7,1787.8419999999999
708,1786.98,22.66,1787.722
710,1786.21,22.73,1787.5173333333332
712,1786.16,22.58,1787.4213333333335
714,1786.42,22.52,1787.304
716,1784.63,22.49,1787.1013333333333
719,1786.54,22.41,1787.0673333333334
721,1784.32,22.38,1786.8506666666667
723,1785.96,22.37,1786.774666666667
725,1784.73,22.32,1786.8233333333335
727,1790.26,22.25,1786.8180000000002
729,1782.23,22.28,1786.2246666666667
731,1787.16,22.27,1786.2640000000001
733,1785.85,22.22,1786.26
735,1783.94,22.16,1785.8426666666664
737,1792.9,22.09,1786.2859999999998
739,1782.35,22.01,1785.977333333333
741,1794.25,21.99,1786.5133333333329
743,1784.45,22.02,1786.399333333333
745,1784.6,21.97,1786.2779999999998
747,1781.6,21.94,1786.0759999999998
749,1784.89,21.84,1785.966
751,1784.49,21.86,1785.9773333333333
753,1783.87,21.76,1785.8379999999997
755,1786.09,21.84,1785.9286666666665
757,1787.74,21.78,1785.7606666666663
759,1785.86,21.77,1786.0026666666668
761,1787.72,21.67,1786.04
763,1785.53,21.65,1786.0186666666664
766,1783.22,21.62,1785.9706666666666
768,1781.4,21.54,1785.204
770,1786.73,21.56,1785.496
772,1786.18,21.56,1784.958
774,1782.21,21.39,1784.8086666666666
776,1784.74,21.49,1784.8179999999998
778,1787.52,21.42,1785.2126666666666
780,1781.5,21.39,1784.9866666666667
782,1785.13,21.35,1785.029333333333
784,1789.42,21.33,1785.3993333333333
786,1782.44,21.32,1785.1559999999997
788,1773.07,21.2,1784.1779999999999
790,1781.36,21.28,1783.8779999999997
792,1784.95,21.28,1783.6933333333334
794,1784.73,21.22,1783.6399999999999
796,1785.07,21.17,1783.7633333333333
798,1781.7,21.09,1783.7833333333333
800,1785.9,21.13,1783.728
802,1786.36,21.09,1783.74
804,1786.95,21.06,1784.056
806,1782.63,21.04,1783.9153333333334
808,1789.12,21.05,1784.022
810,1782.98,20.95,1784.120666666667
812,1786.72,20.95,1784.226666666667
814,1782.47,20.95,1783.7633333333335
816,1787.81,20.9,1784.1213333333333
819,1777.96,20.98,1784.4473333333335
821,1779.1,20.89,1784.2966666666666
823,1784.9,20.82,1784.293333333333
825,1782.94,20.82,1784.1739999999998
827,1782.64,20.8,1784.0119999999997
829,1785.13,20.82,1784.2406666666666
831,1783.61,20.69,1784.0879999999995
833,1785.05,20.76,1784.0006666666666
835,1783.28,20.78,1783.756
837,1784.67,20.68,1783.892
839,1783.59,20.73,1783.5233333333333
841,1781.6,20.72,1783.4313333333334
843,1785.51,20.7,1783.3506666666667
845,1785.78,20.62,1783.571333333333
847,1784.13,20.63,1783.3259999999998
849,1781.75,20.58,1783.5786666666665
851,1782.1,20.59,1783.7786666666666
853,1783.89,20.6,1783.7113333333332
855,1782.9,20.6,1783.7086666666662
857,1782.25,20.51,1783.6826666666664
859,1782.97,20.46,1783.5386666666661
861,1782.32,20.44,1783.4526666666663
863,1782.63,20.47,1783.2913333333331
865,1779.58,20.45,1783.0446666666664
867,1782.62,20.43,1782.908
869,1784.57,20.55,1782.9733333333334
872,1783.53,20.45,1783.102
874,1780.75,20.31,1782.784666666667
876,1781.34,20.37,1782.4886666666669
878,1781.79,20.36,1782.3326666666667
880,1782.2,20.31,1782.3626666666669
882,1786.19,20.32,1782.6353333333336
884,1779.92,20.35,1782.3706666666665
886,1782.59,20.28,1782.35
888,1779.95,20.3,1782.1966666666667
890,1785.1,20.3,1782.3386666666665
892,1783.29,20.22,1782.4033333333332
894,1782.99,20.22,1782.427333333333
896,1783.03,20.26,1782.6573333333333
898,1779.25,20.15,1782.4326666666666
