Time,Unsmoothed Fres,Temp,Fres,dT/dt
10242,1785.06,20.33,1783.9899999999996,-0.0019464285714287358
10245,1784.13,20.39,1783.9046666666663,-0.001110015086457207
10247,1786.04,20.31,1783.9599999999998,-0.0018607292968311664
10249,1790.86,20.23,1784.4299999999998,-0.0030843938379099905
10251,1786.16,20.28,1784.502,-0.0031221096674737526
10253,1783.84,20.22,1784.2493333333332,-0.003795640326975429
10255,1782.54,20.35,1784.4,-0.0030172133809676827
10257,1783.08,20.22,1784.35,-0.004017587397495965
10259,1783.56,20.3,1784.292,-0.0033318946914117306
10261,1784.64,20.2,1784.274,-0.0044771029555040285
10263,1785.5,20.28,1784.2213333333334,-0.004757493188010565
10265,1783.0,20.25,1784.2513333333334,-0.004944946047126246
10267,1784.32,20.27,1784.407333333333,-0.0034896182183514184
10269,1782.89,20.21,1784.4926666666663,-0.0038691355219816095
10271,1782.79,20.3,1784.5606666666667,-0.002658117674363992
10273,1786.44,20.21,1784.6526666666666,-0.0027321428571430084
10275,1785.86,20.29,1784.768,-0.0007142857142857549
10277,1782.77,20.24,1784.55,-0.0002857142857143156
10279,1784.88,20.27,1784.1513333333337,-0.0005000000000002901
10281,1783.74,20.21,1783.99,-0.0008214285714289155
10283,1782.5,20.23,1783.9006666666664,-0.0016249999999994574
10285,1782.56,20.18,1783.9019999999998,-0.001214285714285073
10287,1783.33,20.25,1783.9186666666665,-0.0014821428571430003
10289,1782.44,20.17,1783.8439999999998,-0.0016607142857145497
10291,1786.31,20.22,1783.955333333333,-0.0024107142857143255
10294,1784.59,20.2,1783.8946666666666,-0.0022745735174654756
10296,1786.08,20.22,1784.0999999999997,-0.002166306940815411
10298,1783.32,20.17,1784.033333333333,-0.0023643670462156863
10300,1783.63,20.21,1784.0826666666665,-0.0027075534023343196
10302,1781.68,20.22,1784.0086666666664,-0.0017302452316079104
10304,1784.99,20.26,1783.9119999999998,-0.0013608314387790386
10306,1782.52,20.14,1783.689333333333,-0.0014312688821747311
10308,1782.42,20.07,1783.666,-0.002735757444972163
10310,1782.89,20.07,1783.5333333333333,-0.00335498538486391
10312,1783.16,20.13,1783.4946666666667,-0.003757493188010322
10314,1784.06,20.15,1783.5986666666668,-0.003526756221096922
