Time,Unsmoothed Fres,Temp,Fres,dT/dt
723,1785.96,22.37,1786.774666666667,-0.024274949765572134
725,1784.73,22.32,1786.8233333333335,-0.023912133891213654
727,1790.26,22.25,1786.8180000000002,-0.024307901907356908
729,1782.23,22.28,1786.2246666666667,-0.022411497239363472
731,1787.16,22.27,1786.264,-0.020932239965472423
733,1785.85,22.22,1786.26,-0.019962235649546984
735,1783.94,22.16,1785.8426666666664,-0.01897044494965887
737,1792.9,22.09,1786.2859999999998,-0.019217983651226633
739,1782.35,22.01,1785.977333333333,-0.019955956837701055
741,1794.25,21.99,1786.5133333333329,-0.01887307434695194
743,1784.45,22.02,1786.399333333333,-0.018271611950471313
745,1784.6,21.97,1786.2779999999998,-0.018168736219101856
747,1781.6,21.94,1786.0759999999998,-0.01791071428571452
749,1784.89,21.84,1785.966,-0.018839285714285725
751,1784.49,21.86,1785.9773333333333,-0.018928571428571624
753,1783.87,21.76,1785.8379999999995,-0.0194821428571426
755,1786.09,21.84,1785.9286666666665,-0.01866071428571405
757,1787.74,21.78,1785.7606666666663,-0.018732142857142968
759,1785.86,21.77,1786.0026666666668,-0.017660714285714238
761,1787.72,21.67,1786.04,-0.017071428571428633
763,1785.53,21.65,1786.0186666666664,-0.016374999999999935
766,1783.22,21.62,1785.9706666666666,-0.015696298015550975
768,1781.4,21.54,1785.204,-0.016097921163239885
770,1786.73,21.56,1785.496,-0.016394842598794077
772,1786.18,21.56,1784.958,-0.0162144902003964
774,1782.21,21.39,1784.8086666666666,-0.01698092643051782
776,1784.74,21.49,1784.8179999999998,-0.01618057810977622
778,1787.52,21.42,1785.2126666666666,-0.015836750107898468
780,1781.5,21.39,1784.986666666667,-0.016338476478204855
782,1785.13,21.35,1785.029333333333,-0.016315362130561676
784,1789.42,21.33,1785.3993333333333,-0.017054495912806254
786,1782.44,21.32,1785.1559999999995,-0.01611924686192443
788,1773.07,21.2,1784.178,-0.016558941728064217
790,1781.36,21.28,1783.8779999999997,-0.015197091900488388
792,1784.95,21.28,1783.6933333333334,-0.01440002320993338
794,1784.73,21.22,1783.64,-0.013928571428571405
796,1785.07,21.17,1783.763333333333,-0.013571428571428769
798,1781.7,21.09,1783.7833333333333,-0.014553571428571152
800,1785.9,21.13,1783.728,-0.0139464285714285
802,1786.36,21.09,1783.74,-0.01307142857142855
804,1786.95,21.06,1784.056,-0.014160714285714558
806,1782.63,21.04,1783.9153333333334,-0.01348214285714285
808,1789.12,21.05,1784.022,-0.012875000000000192
810,1782.98,20.95,1784.120666666667,-0.013285714285714557
812,1786.72,20.95,1784.226666666667,-0.01348214285714279
814,1782.47,20.95,1783.7633333333335,-0.01324999999999987
816,1787.81,20.9,1784.1213333333333,-0.013107142857142508
819,1777.96,20.98,1784.4473333333335,-0.012686549843332773
821,1779.1,20.89,1784.2966666666666,-0.011970351016698902
823,1784.9,20.82,1784.293333333333,-0.011493636972538393
825,1782.94,20.82,1784.1739999999998,-0.011066395067165903
827,1782.64,20.8,1784.0119999999995,-0.010896457765666992
829,1785.13,20.82,1784.2406666666666,-0.010953231568691109
831,1783.61,20.69,1784.0879999999995,-0.01157585239533881
833,1785.05,20.76,1784.0006666666666,-0.011191195511437014
835,1783.28,20.78,1783.756,-0.010441701851250521
837,1784.67,20.68,1783.892,-0.010675749318801298
839,1783.59,20.73,1783.5233333333333,-0.009588746972032594
841,1781.6,20.72,1783.4313333333334,-0.009462491627595207
843,1785.51,20.7,1783.3506666666667,-0.009188344882426248
845,1785.78,20.62,1783.571333333333,-0.009451665312753417
847,1784.13,20.63,1783.3259999999998,-0.009767857142857498
849,1781.75,20.58,1783.5786666666663,-0.00894642857142845
851,1782.1,20.59,1783.7786666666666,-0.008571428571428747
853,1783.89,20.6,1783.7113333333332,-0.0085357142857144
855,1782.9,20.6,1783.7086666666662,-0.008107142857142625
857,1782.25,20.51,1783.6826666666664,-0.008696428571428653
859,1782.97,20.46,1783.538666666666,-0.009107142857142963
861,1782.32,20.44,1783.4526666666663,-0.010982142857142777
863,1782.63,20.47,1783.2913333333331,-0.011035714285714175
865,1779.58,20.45,1783.0446666666664,-0.010535714285714372
867,1782.62,20.43,1782.908,-0.011124999999999876
869,1784.57,20.55,1782.9733333333334,-0.009053571428571671
872,1783.53,20.45,1783.102,-0.007927933155389975
874,1780.75,20.31,1782.784666666667,-0.008439168465296121
876,1781.34,20.37,1782.4886666666669,-0.008605157401205921
878,1781.79,20.36,1782.332666666667,-0.008342325478969636
880,1782.2,20.31,1782.3626666666669,-0.00891008174386914
882,1786.19,20.32,1782.6353333333336,-0.008778824293601804
884,1779.92,20.35,1782.3706666666665,-0.007726046611998358
886,1782.59,20.28,1782.35,-0.007090526542943475
888,1779.95,20.3,1782.1966666666667,-0.006901591425787345
890,1785.1,20.3,1782.3386666666663,-0.007049046321525465
892,1783.29,20.22,1782.4033333333332,-0.008160096894957078
894,1782.99,20.22,1782.427333333333,-0.008511386470194119
896,1783.03,20.26,1782.657333333333,-0.008255140293081832
898,1779.25,20.15,1782.4326666666666,-0.009307183474527076
900,1779.92,20.17,1782.1226666666664,-0.007839285714285455
902,1783.25,20.22,1782.1039999999998,-0.006464285714285776
904,1786.98,20.18,1782.5193333333332,-0.007178571428571706
906,1781.17,20.14,1782.508,-0.007303571428571135
908,1784.26,20.11,1782.6726666666666,-0.007535714285714237
910,1781.39,20.2,1782.6186666666665,-0.006910714285714276
912,1781.14,20.11,1782.2820000000002,-0.007071428571428845
914,1781.07,20.1,1782.3586666666667,-0.0065535714285713306
916,1783.06,20.14,1782.3900000000003,-0.006089285714285611
918,1782.73,20.17,1782.5753333333337,-0.00471428571428595
920,1782.79,20.13,1782.4213333333337,-0.003607142857142825
922,1781.79,20.09,1782.3213333333338,-0.003839285714286116
924,1783.08,20.02,1782.3273333333336,-0.004714285714285489
927,1782.49,20.04,1782.2913333333336,-0.0043791342694673155
929,1780.59,19.99,1782.380666666667,-0.005820174940361597
931,1787.19,20.06,1782.8653333333334,-0.0058020763563297086
933,1778.86,20.01,1782.572666666667,-0.005547236291565853
935,1782.15,19.93,1782.2506666666666,-0.006444141689373571
937,1780.78,19.93,1782.2246666666665,-0.007447223124391047
939,1785.25,19.99,1782.2906666666663,-0.007796719896417822
941,1782.47,20.05,1782.3626666666664,-0.006057401812688762
943,1779.73,19.93,1782.2686666666666,-0.006688860019487208
945,1782.43,19.96,1782.359333333333,-0.006820163487738079
947,1782.12,19.89,1782.2966666666666,-0.007002312266020647
949,1780.35,19.94,1782.138,-0.005750167448091333
951,1778.86,19.84,1781.876,-0.0058394865386798885
953,1781.75,19.92,1781.8733333333332,-0.005024950678890562
955,1782.91,19.86,1781.862,-0.005678571428571592
957,1783.57,19.9,1781.934,-0.005178571428571247
959,1780.03,19.89,1781.8966666666668,-0.005267857142856962
961,1784.64,19.87,1781.7266666666665,-0.004428571428571373
963,1779.78,19.86,1781.788,-0.004089285714285526
965,1782.93,19.84,1781.84,-0.004875000000000174
967,1783.19,19.87,1782.0006666666668,-0.005125000000000406
969,1782.0,19.76,1781.784,-0.0057857142857142005
971,1782.33,19.78,1781.7746666666667,-0.004928571428571711
973,1782.49,19.85,1781.9586666666669,-0.004428571428571209
975,1781.53,19.76,1781.8986666666665,-0.004482142857143144
978,1783.41,19.83,1781.9846666666665,-0.00421376349077418
